Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
selectElement.selectByValue(firstValue),Chrome 147.0.7727.138,,,13-05-2026 16:25:29,13-05-2026 16:25:30,0.304s,PASSED
"click(findTestObject(""Web/OpenAccount/btn_submit""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:30,13-05-2026 16:25:30,0.352s,PASSED
"verifyElementText(findTestObject(""Web/OpenAccount/lbl_successCreateAccount""), ""Account Opened!"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:30,13-05-2026 16:25:31,0.692s,PASSED
"takeScreenshot(screenshotPath + ""TC CreateAccount.png"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:31,13-05-2026 16:25:31,0.354s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,13-05-2026 16:25:31,13-05-2026 16:25:31,0.382s,PASSED
"println(""Test Case Create Account success!"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:31,13-05-2026 16:25:31,0.001s,PASSED
,,,,,,,
Test Cases/Web/Transfer Found/TC TRF-01,Chrome 147.0.7727.138,,,13-05-2026 16:25:31,13-05-2026 16:25:44,13.020s,PASSED
"common.WebHelper.login(""Haryadi01"", ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:32,13-05-2026 16:25:38,6.671s,PASSED
"click(findTestObject(""Web/Home/link_transfer""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:38,13-05-2026 16:25:39,1.108s,PASSED
driver = getWebDriver(),Chrome 147.0.7727.138,,,13-05-2026 16:25:39,13-05-2026 16:25:39,0.006s,PASSED
selectElementFrom = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.cssSelector(#fromAccountId))),Chrome 147.0.7727.138,,,13-05-2026 16:25:39,13-05-2026 16:25:40,0.732s,PASSED
selectElementTo = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.cssSelector(#toAccountId))),Chrome 147.0.7727.138,,,13-05-2026 16:25:40,13-05-2026 16:25:41,0.286s,PASSED
"setText(findTestObject(""Web/Transfer/txt_amount""), ""150"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:41,13-05-2026 16:25:41,0.616s,PASSED
options = selectElementFrom.getOptions(),Chrome 147.0.7727.138,,,13-05-2026 16:25:41,13-05-2026 16:25:41,0.257s,PASSED
options.each({ java.lang.Object option -> ... }),Chrome 147.0.7727.138,,,13-05-2026 16:25:41,13-05-2026 16:25:41,0.054s,PASSED
"fromAccount = get(0).getAttribute(""value"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:41,13-05-2026 16:25:41,0.010s,PASSED
selectElementFrom.selectByValue(fromAccount),Chrome 147.0.7727.138,,,13-05-2026 16:25:41,13-05-2026 16:25:42,0.335s,PASSED
optionsToAccount = selectElementTo.getOptions(),Chrome 147.0.7727.138,,,13-05-2026 16:25:42,13-05-2026 16:25:42,0.267s,PASSED
optionsToAccount.each({ java.lang.Object option -> ... }),Chrome 147.0.7727.138,,,13-05-2026 16:25:42,13-05-2026 16:25:42,0.054s,PASSED
"toAccount = get(1).getAttribute(""value"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:42,13-05-2026 16:25:42,0.015s,PASSED
selectElementTo.selectByValue(toAccount),Chrome 147.0.7727.138,,,13-05-2026 16:25:42,13-05-2026 16:25:42,0.315s,PASSED
